,subj,TaskType,SentStruct,Lang_ACC,whichfirst,SStype,QLang1_firstsubj,QLang2_firstsubj,QLang
3161,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
3162,116,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
3163,116,Lang,SRC2,1,LangFirst,high,yes,no,QLang2
3164,116,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
3166,116,Lang,SRC2,1,LangFirst,high,no,yes,QLang2
3167,116,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
3168,116,Lang,SRC2,1,LangFirst,high,no,yes,QLang1
3241,117,Dual,ORC,0,LangFirst,high,yes,no,QLang2
3242,117,Dual,ORC,0,MusicFirst,high,no,yes,QLang2
3243,117,Dual,ORC,1,MusicFirst,high,yes,no,QLang1
3244,117,Dual,ORC,1,LangFirst,high,no,yes,QLang2
3245,117,Dual,ORC,0,MusicFirst,high,no,yes,QLang2
3247,117,Dual,ORC,1,LangFirst,high,yes,no,QLang2
3248,117,Dual,ORC,1,LangFirst,high,no,yes,QLang2
3249,117,Dual,ORC,0,LangFirst,high,yes,no,QLang2
3250,117,Dual,ORC,0,LangFirst,high,no,yes,QLang1
3251,117,Dual,ORC,0,MusicFirst,high,yes,no,QLang1
3252,117,Dual,ORC,0,LangFirst,high,yes,no,QLang2
3253,117,Dual,ORC,1,LangFirst,high,yes,no,QLang2
3254,117,Dual,ORC,1,LangFirst,high,no,yes,QLang2
3255,117,Dual,ORC,1,LangFirst,high,yes,no,QLang1
3256,117,Dual,ORC,1,MusicFirst,high,no,yes,QLang1
3257,117,Dual,ORC,1,LangFirst,high,no,yes,QLang1
3258,117,Dual,ORC,0,LangFirst,high,yes,no,QLang1
3259,117,Dual,SE,1,MusicFirst,low,yes,no,QLang2
3260,117,Dual,SE,0,MusicFirst,low,yes,no,QLang2
3261,117,Dual,SE,1,MusicFirst,low,no,yes,QLang1
3262,117,Dual,SE,1,LangFirst,low,yes,no,QLang1
